account_id,peak_id,account_rating,account_image,account_notes,is_complete,date_complete
3,15,5,,On the upslope you’ll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/15/17
4,16,4,,Peer into the shrubbery—you may find a hidden columbine or two,TRUE,6/16/17
5,17,3,,Once you pass the shrubs you are above the tree line…and this is the most beautiful part of the hike,TRUE,6/17/17
6,18,2,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/18/17
7,19,1,,The higher you get the more of the surrounding peaks you can see,TRUE,6/19/17
8,20,2,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/20/17
9,21,3,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/21/17
10,22,4,,In flower season you’ll also enjoy quite a few flowers near the trailhead,TRUE,6/22/17
11,23,5,,On the upslope you’ll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/23/17
12,24,3,,Peer into the shrubbery—you may find a hidden columbine or two,TRUE,6/24/17
13,25,4,,Once you pass the shrubs you are above the tree line…and this is the most beautiful part of the hike,TRUE,6/25/17
14,26,5,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/26/17
15,27,4,,The higher you get the more of the surrounding peaks you can see,TRUE,6/27/17
16,28,3,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/28/17
17,29,2,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/29/17
18,30,1,,In flower season you’ll also enjoy quite a few flowers near the trailhead,TRUE,6/30/17
19,31,2,,On the upslope you’ll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,7/1/17
20,32,3,,Peer into the shrubbery—you may find a hidden columbine or two,TRUE,7/2/17
21,33,4,,Once you pass the shrubs you are above the tree line…and this is the most beautiful part of the hike,TRUE,6/13/17
22,34,5,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/14/17
23,35,3,,The higher you get the more of the surrounding peaks you can see,TRUE,6/15/17
24,36,4,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/16/17
25,37,5,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/17/17
26,38,4,,In flower season you’ll also enjoy quite a few flowers near the trailhead,TRUE,6/18/17
27,39,3,,On the upslope you’ll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/19/17
28,40,2,,Peer into the shrubbery—you may find a hidden columbine or two,TRUE,6/20/17
29,41,1,,Once you pass the shrubs you are above the tree line…and this is the most beautiful part of the hike,TRUE,6/21/17
30,42,2,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/22/17
31,43,3,,The higher you get the more of the surrounding peaks you can see,TRUE,6/23/17
32,44,4,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/24/17
33,45,5,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/25/17
34,46,3,,In flower season you’ll also enjoy quite a few flowers near the trailhead,TRUE,6/26/17
35,47,4,,On the upslope you’ll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/27/17
36,48,5,,Peer into the shrubbery—you may find a hidden columbine or two,TRUE,6/28/17
37,49,4,,Once you pass the shrubs you are above the tree line…and this is the most beautiful part of the hike,TRUE,6/29/17
38,50,3,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/30/17
39,51,2,,The higher you get the more of the surrounding peaks you can see,TRUE,7/1/17
40,52,1,,Nearing the top the terrain becomes trickier to navigate,TRUE,7/2/17
41,53,2,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,7/3/17
42,54,3,,In flower season you’ll also enjoy quite a few flowers near the trailhead,TRUE,7/4/17
43,55,4,,On the upslope you’ll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,7/5/17
44,56,5,,Peer into the shrubbery—you may find a hidden columbine or two,TRUE,7/6/17
45,57,3,,Once you pass the shrubs you are above the tree line…and this is the most beautiful part of the hike,TRUE,7/7/17
46,58,4,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,7/8/17
47,1,5,,The higher you get the more of the surrounding peaks you can see,TRUE,6/13/17
48,2,4,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/14/17
49,3,3,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/15/17
50,4,2,,In flower season you’ll also enjoy quite a few flowers near the trailhead,TRUE,6/16/17
51,5,1,,On the upslope you’ll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/17/17
52,6,2,,Peer into the shrubbery—you may find a hidden columbine or two,TRUE,6/18/17
53,7,3,,Once you pass the shrubs you are above the tree line…and this is the most beautiful part of the hike,TRUE,6/19/17
54,8,4,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/20/17
55,9,5,,The higher you get the more of the surrounding peaks you can see,TRUE,6/21/17
56,10,3,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/22/17
57,11,4,,The hike starts out easy dipping down from the parking lot into the wet marshy valley floor,TRUE,6/23/17
58,12,5,,In flower season you’ll also enjoy quite a few flowers near the trailhead,TRUE,6/24/17
59,13,4,,On the upslope you’ll pass through a shrubby area (there are few if any trees in the area) where you may catch sight of little critters and songbirds,TRUE,6/25/17
60,14,3,,Peer into the shrubbery—you may find a hidden columbine or two,TRUE,6/26/17
61,15,2,,Once you pass the shrubs you are above the tree line…and this is the most beautiful part of the hike,TRUE,6/27/17
62,16,1,,In flower season the mountainside is carpeted with a variety of wildflowers,TRUE,6/28/17
63,17,2,,The higher you get the more of the surrounding peaks you can see,TRUE,6/29/17
64,18,3,,Nearing the top the terrain becomes trickier to navigate,TRUE,6/30/17
